window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,interval_ms,long_interval
1744005572175,1744005572199,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.022266913,0.024160538,0.013510418,0.8649878,0.3448963,0.24757804,1,24,False
1744005572199,1744005572215,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.011363284,0.03095316,0.010382882,0.86698866,0.34738228,0.24783011,1,16,False
1744005572215,1744005572235,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.022395192,0.03439834,0.004023956,0.869042,0.34796038,0.250669,1,20,False
1744005572235,1744005572254,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.05991342,0.01774053,0.007011002,0.8918379,0.36639035,0.251451,1,19,False
1744005572254,1744005572273,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.04267532,0.01662268,0.007847861,0.8941473,0.3670223,0.25168356,1,19,False
1744005572273,1744005572295,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.002956494,0.0351619,-0.003489466,0.93574595,0.37981606,0.2582216,1,22,False
1744005572295,1744005572314,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.025064582,0.04502096,-0.024003243,0.9606735,0.39053985,0.284835,1,19,False
1744005572314,1744005572332,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.008808418,0.022236366,-0.022689922,1.0095137,0.42975247,0.28551534,1,18,False
1744005572332,1744005572353,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.007594352,0.01797265,-0.024626307,1.0211698,0.43109223,0.28285006,1,21,False
1744005572353,1744005572372,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.055956654,0.036385123,-0.037449516,1.0752856,0.45982677,0.29111013,1,19,False
1744005572372,1744005572392,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.012383399,0.02513331,-0.05803661,1.1156163,0.46457574,0.30190527,1,20,False
1744005572392,1744005572411,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.01049894,0.003252761,-0.047444507,1.1303554,0.4896954,0.32428986,1,19,False
1744005572411,1744005572432,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.005596885,0.003246652,-0.053998902,1.1327374,0.4896952,0.31981865,1,21,False
1744005572432,1744005572451,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.001568354,0.00637419,-0.06706493,1.1315435,0.4922211,0.3226951,1,19,False
1744005572451,1744005572471,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.016851755,-0.012250546,-0.065739386,1.1404852,0.50558275,0.3234115,1,20,False
1744005572471,1744005572490,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.002049387,-0.009281826,-0.065684415,1.1484656,0.5052172,0.32347095,1,19,False
1744005572490,1744005572510,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.00259916,-0.005989361,-0.07272138,1.147278,0.5079754,0.32680038,1,20,False
1744005572510,1744005572530,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.01270868,-0.019165339,-0.06564776,1.148122,0.50897515,0.3280163,1,20,False
1744005572530,1744005572548,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.005219694,-0.018071923,-0.062721804,1.1482775,0.50862426,0.33087108,1,18,False
1744005572548,1744005572568,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,8.86e-05,-0.010326376,-0.06547672,1.1479423,0.5110996,0.33036688,1,20,False
1744005572568,1744005572588,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.008909208,-0.015738485,-0.058451977,1.1484926,0.5087635,0.33297142,1,20,False
1744005572588,1744005572607,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.051963247,-0.027937103,-0.049350347,1.1920311,0.515594,0.33921796,1,19,False
1744005572607,1744005572629,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.057424225,-0.03194426,-0.04141544,1.1921587,0.51623684,0.34484285,1,22,False
1744005572629,1744005572647,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.028236423,-0.019030953,-0.03673024,1.2051744,0.52739626,0.34393775,1,18,False
1744005572647,1744005572666,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.032555107,-0.017870344,-0.035985008,1.2055676,0.5271619,0.34398198,1,19,False
1744005572666,1744005572685,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.032866646,-0.023429051,-0.02993762,1.2055237,0.5278712,0.34443095,1,19,False
1744005572685,1744005572705,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.002579309,-0.011395361,-0.028825877,1.2246771,0.53858256,0.34363243,1,20,False
1744005572705,1744005572725,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.002154756,-0.014871082,-0.027927933,1.2245731,0.53885543,0.34385118,1,20,False
1744005572725,1744005572742,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.002154756,-0.014871082,-0.027927933,1.2245731,0.53885543,0.34385118,1,17,False
1744005572742,1744005572765,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.007328633,0.001572927,-0.02937564,1.2272037,0.5582722,0.34447807,1,23,False
1744005572765,1744005572784,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.005850382,-0.002715221,-0.0219905,1.2274892,0.5586923,0.34341133,1,19,False
1744005572784,1744005572804,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.005202885,-0.005873301,-0.014477077,1.2277337,0.56115127,0.34862703,1,20,False
1744005572804,1744005572823,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.001223229,0.003460445,-0.019571543,1.2253523,0.56722957,0.35030785,1,19,False
1744005572823,1744005572843,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.00709651,0.001304154,-0.011178502,1.2234309,0.56707776,0.34692606,1,20,False
1744005572843,1744005572863,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.008186888,-0.002177675,-0.008936691,1.2258188,0.5690538,0.34832683,1,20,False
1744005572863,1744005572882,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.008150237,0.002690778,-0.006963655,1.2258335,0.5717432,0.34791014,1,19,False
1744005572882,1744005572902,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.013861656,0.002953443,-0.004856235,1.225759,0.5717936,0.3474688,1,20,False
1744005572902,1744005572922,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.005331161,0.015860653,-0.003542911,1.2243319,0.5669379,0.34802708,1,20,False
1744005572922,1744005572942,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.058583304,-0.004213314,-0.001160609,1.164036,0.5461495,0.3473793,1,20,False
1744005572942,1744005572961,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.03527948,-0.000841,0.01307366,1.1520628,0.54511386,0.33984002,1,19,False
1744005572961,1744005572981,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.02788976,0.027850054,0.002597632,1.0911738,0.52974236,0.33310175,1,20,False
1744005572981,1744005573001,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.042004924,0.007966977,-0.008385402,1.0232264,0.51678044,0.3284752,1,20,False
1744005573001,1744005573020,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.012617044,0.007661553,0.005793888,1.019427,0.51672065,0.31820726,1,19,False
1744005573020,1744005573039,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.010724954,0.021057433,-0.004498884,0.9856361,0.5054207,0.32111695,1,19,False
1744005573039,1744005573059,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.013704357,0.015834695,-0.01356997,0.9600951,0.5037417,0.31637263,1,20,False
1744005573059,1744005573078,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.015555222,0.010892935,-0.009726211,0.95981,0.501138,0.31090495,1,19,False
1744005573078,1744005573099,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.008255598,0.007142329,-0.012114632,0.95348084,0.5047719,0.31130356,1,21,False
1744005573099,1744005573118,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.000547,0.01564533,-0.021949282,0.9583581,0.5032606,0.31068045,1,19,False
1744005573118,1744005573137,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.01270256,0.010630269,-0.029873496,0.9526913,0.49809504,0.3232416,1,19,False
1744005573137,1744005573156,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.006581876,0.002273874,-0.031498346,0.94630367,0.50263536,0.323473,1,19,False
1744005573156,1744005573176,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.041939247,0.017679451,-0.043599218,0.9647529,0.5021328,0.3223492,1,20,False
1744005573176,1744005573197,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.005001314,0.002524324,-0.051912855,0.9849198,0.50408846,0.3286398,1,21,False
1744005573197,1744005573215,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.045068312,0.001424799,-0.04658016,1.0059468,0.50376624,0.32733124,1,18,False
1744005573215,1744005573235,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.077290505,0.02033053,-0.054600585,0.9809827,0.49146482,0.32742935,1,20,False
1744005573235,1744005573254,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.019240169,0.003300099,-0.056543075,1.0384867,0.5136824,0.3268042,1,19,False
1744005573254,1744005573274,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.007249229,-0.001788256,-0.047325388,1.019351,0.50751275,0.32266265,1,20,False
1744005573274,1744005573293,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.004204152,-0.004023952,-0.038527668,1.0040908,0.50462997,0.30540565,1,19,False
1744005573293,1744005573313,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.004123218,0.002964134,-0.03968827,0.98693573,0.48963672,0.30476916,1,20,False
1744005573313,1744005573334,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.012371182,0.001687465,-0.04045183,0.9747818,0.4903037,0.30391598,1,21,False
1744005573334,1744005573355,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.031191392,-0.003860549,-0.040500693,0.9360741,0.4783322,0.3039959,1,21,False
1744005573355,1744005573372,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.009950702,0.000464,-0.031348675,0.9009822,0.47528642,0.29003206,1,17,False
